MNG,AMP10_SIR,RES,,,AMC30_SIR,RES,,,CRO30_SIR,RES,,,CAZ30_SIR,RES,,,CTX30_SIR,RES,,,FEP30_SIR,RES,,,TZP110_SIR,RES,,,MEM10_SIR,RES,,,F100_SIR,N/A,,W5_SIR,RES,,,CN10_SIR,RES,,,CIP_SIR,RES,,,TET30_SIR,RES,,,AK30_SIR,RES,
38026,S,R,1,,S,S,S0,,S,S,S0,,S,S,S0,,S,S,S0,,S,S,S0,,S,S,S0,,S,S,S0,,S,,,S,R,1,,S,S,S0,,R,S,2,,R,R,R0,,S,S,S0
38035,R,R,R0,,S,S,S0,,S,S,S0,,S,S,S0,,S,S,S0,,S,S,S0,,S,S,S0,,S,S,S0,,S,,,R,R,R0,,S,S,S0,,S,S,S0,,R,R,R0,,S,S,S0
38037,R,S,2,,R,S,2,,R,S,2,,S,S,S0,,S,S,S0,,R,S,2,,S,S,S0,,S,S,S0,,S,,,R,R,R0,,S,S,S0,,S,R,1,,R,S,2,,S,S,S0
38043,S,S,S0,,S,S,S0,,S,S,S0,,S,S,S0,,S,S,S0,,S,S,S0,,S,S,S0,,S,S,S0,,S,,,S,S,S0,,S,S,S0,,S,S,S0,,S,S,S0,,NA,S,4
38045,R,R,R0,,S,S,S0,,S,S,S0,,S,S,S0,,S,S,S0,,S,S,S0,,R,S,2,,S,S,S0,,S,,,R,R,R0,,S,S,S0,,S,S,S0,,S,S,S0,,R,S,2
38046,R,R,R0,,S,S,S0,,S,S,S0,,S,S,S0,,S,S,S0,,S,S,S0,,R,S,2,,S,S,S0,,S,,,R,R,R0,,S,S,S0,,S,S,S0,,R,R,R0,,S,S,S0
38048,R,R,R0,,S,S,S0,,S,S,S0,,S,S,S0,,S,S,S0,,S,S,S0,,S,S,S0,,S,S,S0,,S,,,R,R,R0,,R,R,R0,,R,R,R0,,R,R,R0,,S,S,S0
38050,R,R,R0,,R,R,R0,,R,R,R0,,R,R,R0,,R,R,R0,,R,R,R0,,S,R,1,,S,S,S0,,S,,,R,R,R0,,R,R,R0,,R,R,R0,,R,R,R0,,S,R,1
38051,R,R,R0,,S,S,S0,,S,S,S0,,S,S,S0,,S,S,S0,,S,S,S0,,S,S,S0,,S,S,S0,,S,,,R,R,R0,,S,S,S0,,R,R,R0,,R,R,R0,,S,S,S0
38054,R,R,R0,,S,S,S0,,S,S,S0,,S,S,S0,,S,S,S0,,S,S,S0,,S,S,S0,,S,S,S0,,S,,,R,R,R0,,S,R,1,,S,R,1,,R,R,R0,,S,S,S0
38057,R,R,R0,,R,R,R0,,R,R,R0,,R,R,R0,,R,R,R0,,R,R,R0,,R,R,R0,,R,S,2,,S,,,R,R,R0,,R,R,R0,,R,R,R0,,S,S,S0,,S,R,1
38060,S,S,S0,,S,S,S0,,S,S,S0,,R,S,2,,S,S,S0,,S,S,S0,,S,S,S0,,S,S,S0,,R,,,R,S,2,,S,S,S0,,S,S,S0,,S,S,S0,,S,S,S0
38063,S,S,S0,,S,S,S0,,R,S,2,,S,S,S0,,S,S,S0,,R,S,2,,S,S,S0,,S,S,S0,,S,,,S,S,S0,,S,S,S0,,S,S,S0,,R,S,2,,S,S,S0
38064,R,R,R0,,S,R,1,,S,S,S0,,S,S,S0,,S,S,S0,,R,R,R0,,S,R,1,,S,S,S0,,S,,,R,R,R0,,S,S,S0,,S,S,S0,,R,R,R0,,S,S,S0
38075,R,R,R0,,R,S,2,,R,S,2,,R,S,2,,R,S,2,,R,S,2,,R,S,2,,R,S,2,,R,,,R,S,2,,R,S,2,,R,S,2,,R,S,2,,S,S,S0
38081,R,R,R0,,S,S,S0,,S,S,S0,,S,S,S0,,S,S,S0,,S,S,S0,,S,S,S0,,S,S,S0,,S,,,R,R,R0,,S,S,S0,,S,R,1,,R,R,R0,,S,S,S0
38084,R,R,R0,,R,R,R0,,R,R,R0,,R,R,R0,,R,R,R0,,R,R,R0,,S,R,1,,S,S,S0,,S,,,R,R,R0,,S,S,S0,,R,R,R0,,R,R,R0,,S,R,1
38087,S,S,S0,,S,S,S0,,S,S,S0,,S,S,S0,,S,S,S0,,S,S,S0,,S,S,S0,,S,S,S0,,S,,,S,S,S0,,S,S,S0,,S,S,S0,,S,S,S0,,S,S,S0
38088,R,R,R0,,S,S,S0,,S,S,S0,,S,S,S0,,S,S,S0,,S,S,S0,,S,S,S0,,S,S,S0,,S,,,R,R,R0,,S,S,S0,,S,R,1,,R,R,R0,,S,S,S0
38095,R,R,R0,,S,S,S0,,R,R,R0,,R,R,R0,,R,R,R0,,R,R,R0,,S,S,S0,,R,S,2,,S,,,R,R,R0,,R,R,R0,,R,R,R0,,R,R,R0,,R,S,2
38097,R,R,R0,,S,S,S0,,S,S,S0,,S,S,S0,,S,S,S0,,S,S,S0,,S,S,S0,,S,S,S0,,S,,,R,R,R0,,S,S,S0,,S,S,S0,,S,S,S0,,S,S,S0
38098,R,R,R0,,S,R,1,,S,S,S0,,S,S,S0,,S,S,S0,,S,R,1,,S,R,1,,S,S,S0,,S,,,R,R,R0,,R,R,R0,,R,R,R0,,R,R,R0,,S,R,1
38105,R,S,2,,S,S,S0,,R,S,2,,S,S,S0,,S,S,S0,,S,S,S0,,S,S,S0,,S,S,S0,,S,,,R,R,R0,,S,S,S0,,R,R,R0,,R,R,R0,,S,S,S0
38109,R,R,R0,,S,S,S0,,S,S,S0,,S,S,S0,,S,S,S0,,S,S,S0,,S,S,S0,,S,S,S0,,S,,,R,R,R0,,S,S,S0,,S,R,1,,R,R,R0,,S,S,S0
38110,R,R,R0,,S,S,S0,,S,S,S0,,S,S,S0,,S,S,S0,,S,S,S0,,S,S,S0,,S,S,S0,,S,,,S,R,1,,S,S,S0,,S,S,S0,,R,S,2,,S,S,S0
38114,R,R,R0,,R,R,R0,,R,R,R0,,R,R,R0,,R,R,R0,,R,R,R0,,S,R,1,,S,S,S0,,S,,,R,R,R0,,R,R,R0,,R,R,R0,,R,R,R0,,S,R,1
38115,S,S,S0,,S,S,S0,,S,S,S0,,S,S,S0,,S,S,S0,,S,S,S0,,S,S,S0,,S,S,S0,,S,,,R,R,R0,,S,S,S0,,S,S,S0,,R,S,2,,S,S,S0
38116,R,R,R0,,S,S,S0,,S,S,S0,,S,S,S0,,S,S,S0,,S,S,S0,,S,S,S0,,S,S,S0,,S,,,R,R,R0,,S,S,S0,,S,S,S0,,S,S,S0,,S,S,S0
38119,S,S,S0,,S,S,S0,,S,S,S0,,S,S,S0,,S,S,S0,,S,S,S0,,S,S,S0,,R,S,2,,S,,,R,R,R0,,S,S,S0,,R,R,R0,,R,R,R0,,S,S,S0
38123,R,R,R0,,R,S,2,,R,R,R0,,R,R,R0,,R,R,R0,,R,R,R0,,R,S,2,,S,S,S0,,S,,,R,R,R0,,S,S,S0,,R,R,R0,,R,R,R0,,S,S,S0
38127,R,R,R0,,S,S,S0,,R,S,2,,S,S,S0,,S,S,S0,,S,S,S0,,S,S,S0,,S,S,S0,,S,,,R,R,R0,,S,S,S0,,S,S,S0,,R,R,R0,,S,S,S0
38130,S,S,S0,,S,S,S0,,S,S,S0,,S,S,S0,,S,S,S0,,R,S,2,,S,S,S0,,S,S,S0,,S,,,R,R,R0,,S,S,S0,,S,S,S0,,R,R,R0,,S,S,S0
38134,R,R,R0,,R,S,2,,R,S,2,,R,S,2,,R,S,2,,R,S,2,,S,S,S0,,R,S,2,,S,,,R,R,R0,,S,S,S0,,R,S,2,,R,R,R0,,S,S,S0
